time,u,x_true,c_true,y
0.77,0.6647065195256855,0.04370520321146978,1.0,0.040715129706811105
0.78,0.6661191798391626,0.04432620452778399,1.0,0.045243812293139014
0.79,0.6675056080084284,0.04494799750309537,1.0,0.02507230835708644
0.8,0.6688655851004031,0.0455705551136007,1.0,0.043373836235225574
0.81,0.6701988963589384,0.0461938501435875,1.0,0.049764975858704964
0.8200000000000001,0.6715053312387305,0.046817855189802846,1.0,0.06159679563721801
0.8300000000000001,0.6727846834385671,0.047442542665851774,1.0,0.0422598404831153
0.84,0.6740367509339051,0.04806788480662449,1.0,0.03998294877769261
0.85,0.6752613360087727,0.048693853672751766,1.0,0.0436762832369064
0.86,0.6764582452869907,0.049320421155087786,1.0,0.05847444233210853
0.87,0.6776272897627089,0.04994755897921969,1.0,0.05323507007581653
0.88,0.6787682848302528,0.050575238710003176,1.0,0.04527763667233279
0.89,0.6798810503132742,0.05120343175612343,1.0,0.05633610608725699
0.9,0.6809654104932039,0.05183210937468058,1.0,0.05280288486816098
0.91,0.6820211941369991,0.0524612426757991,1.0,0.062147692581128
0.92,0.6830482345241835,0.053090802627260306,1.0,0.046070271688486784
0.93,0.6840463694731741,0.05372076005915723,1.0,0.05044413859317955
0.9400000000000001,0.6850154413668916,0.05435108566857125,1.0,0.05043000413724967
0.9500000000000001,0.6859552971776504,0.05498175002426957,1.0,0.040346600542948384
0.96,0.6868657884913224,0.055612723571422946,1.0,0.058573926342068705
0.97,0.6877467715307748,0.05624397663634285,1.0,0.05885452935814174
0.98,0.688598107178573,0.05687547943123728,1.0,0.05692661399766189
0.99,0.6894196609989489,0.057507202058984616,1.0,0.055161330725233146
1.0,0.6902113032590307,0.058139114517924584,1.0,0.04398540709742044
1.01,0.6909729089493286,0.05877118670666569,1.0,0.0545647334790121
1.02,0.6917043578034752,0.05940338842890835,1.0,0.05597624326364065
1.03,0.6924055343172172,0.06003568939828292,1.0,0.052012916706066725
1.04,0.6930763277666547,0.06066805924320185,1.0,0.05905520212654176
